,Rate,0.05,,0.1,,0.2,,0.5,
Iter,,Fitness,New_Fitness,Fitness,New_Fitness,Fitness,New_Fitness,Fitness,New_Fitness
394,,1.46,105.28,0.74,162.44,2.6,323.66,0.32,603.7
395,,1.46,152.18,0.74,81.48,2.6,461.28,0.32,144.16
396,,1.46,108.26,0.74,685.12,2.6,333.2,0.32,1093.3
397,,1.46,72.2,0.74,421.4,2.6,615,0.32,509.1
398,,1.46,306.18,0.74,453.1,2.6,139.4,0.32,52.14
399,,1.46,359.22,0.74,330.4,2.6,53.46,0.32,541.7
400,,1.46,111.24,0.74,590.16,2.6,548.42,0.32,241.22
401,,1.46,393.02,0.74,109.8,2.6,509.32,0.32,586.4
402,,1.46,203.6,0.74,62,2.6,428.92,0.32,1110.54
403,,1.46,263.96,0.74,127.46,2.6,441.9,0.32,591.62
404,,1.46,124.88,0.74,204.32,2.6,169.24,0.32,73.16
405,,1.46,23.68,0.74,448.84,2.6,613.7,0.32,14.26
406,,1.46,191.74,0.74,86.04,2.6,509.24,0.32,442.88
407,,1.46,135.62,0.74,142.92,2.6,505.98,0.32,1224.04
408,,1.46,217.68,0.74,204.18,2.6,7.52,0.32,359.98
409,,1.46,187.5,0.74,502.62,2.6,158,0.32,49.76
410,,1.46,83.64,0.74,487.42,2.6,69.18,0.32,177.88
411,,1.46,175.38,0.74,437.2,2.6,475.2,0.32,491.62
412,,1.46,136.24,0.74,358.36,2.6,734.14,0.32,855.04
413,,1.46,258.1,0.74,30.6,2.6,120.58,0.32,1114.48
414,,1.46,134.1,0.74,719.52,2.6,398.66,0.32,1792.02
415,,1.46,225.18,0.74,335.3,2.6,193.76,0.32,1425.58
416,,1.46,62.98,0.74,580.62,2.6,59.9,0.32,772.96
417,,1.46,317.88,0.74,443.8,2.6,305.56,0.32,532.84
418,,1.46,198.22,0.74,103.76,2.6,700.18,0.32,203.62
419,,1.46,136.26,0.74,155.06,2.6,70.84,0.32,441.78
420,,1.46,14.76,0.74,252.36,2.6,349.84,0.32,144.86
421,,1.46,246.82,0.74,280.38,2.6,491.8,0.32,116.52
422,,1.46,311.58,0.74,356.24,2.6,127.06,0.32,1194.06
423,,1.46,19.8,0.74,280.84,2.6,656.2,0.32,336.04
424,,1.46,175.38,0.74,7.64,2.6,873.38,0.32,237.04
425,,1.46,133.48,0.74,683.74,2.6,895.26,0.32,222.46
426,,1.46,182.78,0.74,54.24,2.6,484.86,0.32,157.52
427,,1.46,452.62,0.74,434.36,2.6,97.34,0.32,344.12
428,,1.46,259.6,0.74,337.52,2.6,391.02,0.32,14.38
429,,1.46,149.6,0.74,501.12,2.6,191.08,0.32,12.04
430,,1.46,122,0.74,373.36,2.6,536.64,0.32,364.8
431,,1.46,122,0.74,681.02,2.6,351.18,0.32,311.28
432,,1.46,177.54,0.74,313.92,2.6,330.06,0.32,421.08
433,,1.46,216.42,0.74,17.62,2.6,98.42,0.32,343.22
434,,1.46,23.84,0.74,290.8,2.6,532.2,0.32,77.7
435,,1.46,102.48,0.74,67.44,2.6,528.82,0.32,1562.7
436,,1.46,122,0.74,499.5,2.6,293,0.32,471
437,,1.46,110.62,0.74,482.02,2.6,780.42,0.32,326
438,,1.46,252.7,0.74,107.5,2.6,537.1,0.32,818.36
439,,1.46,393.02,0.74,47.04,2.6,24.98,0.32,412.54
440,,1.46,175.38,0.74,329.76,2.6,152.16,0.32,500.34
441,,1.46,163.36,0.74,86.24,2.6,630.82,0.32,426.78
442,,1.46,35.58,0.74,442.26,2.6,181.48,0.32,526.8
443,,1.46,35.58,0.74,1.9,2.6,600.8,0.32,605.6
444,,1.46,70.38,0.74,44.42,2.6,126.88,0.32,319.98
445,,1.46,109.36,0.74,109.64,2.6,168.16,0.32,129.2
446,,1.46,59.4,0.74,33.86,2.6,800.38,0.32,59.02
447,,1.46,286.48,0.74,449.5,2.6,130.56,0.32,247.38
448,,1.46,155.08,0.74,82.54,2.6,1136.86,0.32,340.32
449,,1.46,150.04,0.74,82.96,2.6,100.06,0.32,846.02
450,,1.46,217.06,0.74,217.62,2.6,382.42,0.32,28.94
451,,1.46,205.6,0.74,133.84,2.6,349.44,0.32,77.08
452,,1.46,104.66,0.74,394.9,2.6,630.82,0.32,49.74
453,,1.46,82.32,0.74,106.64,2.6,1102.98,0.32,9.14
454,,1.46,155.08,0.74,591.36,2.6,177.9,0.32,462.42
455,,1.46,298.28,0.74,278.98,2.6,21.92,0.32,678.88
456,,1.46,140.08,0.74,183.14,2.6,479.92,0.32,383.96
457,,1.46,72.46,0.74,612.72,2.6,137.52,0.32,129.04
458,,1.46,112.52,0.74,215.12,2.6,921.2,0.32,55.12
459,,1.46,9.5,0.74,589.66,2.6,536.98,0.32,171.64
460,,1.46,110.62,0.74,526.44,2.6,292.34,0.32,295.66
461,,1.46,334.92,0.74,741.84,2.6,435.7,0.32,510.68
462,,1.46,36.58,0.74,449.64,2.6,90.72,0.32,370.62
463,,1.46,177.98,0.74,544.56,2.6,148.74,0.32,430.78
464,,1.46,205.5,0.74,648.6,2.6,147.4,0.32,697.52
465,,1.46,68.94,0.74,220.5,2.6,1204.72,0.32,1029.5
466,,1.46,211.1,0.74,428.52,2.6,1220.2,0.32,107.74
467,,1.46,83.32,0.74,73.26,2.6,544.44,0.32,625.5
468,,1.46,62.56,0.74,131.72,2.6,95.58,0.32,468.52
469,,1.46,145.64,0.74,307.6,2.6,476.82,0.32,490.62
470,,1.46,175.38,0.74,7.84,2.6,422.16,0.32,434.46
471,,1.46,28.94,0.74,697.7,2.6,610.18,0.32,66.36
472,,1.46,112.16,0.74,268.54,2.6,230.84,0.32,141.12
473,,1.46,163.68,0.74,333.9,2.6,290.26,0.32,253.82
474,,1.46,121.38,0.74,203.7,2.6,90.5,0.32,57.94
475,,1.46,482.12,0.74,166.04,2.6,154.78,0.32,864.64
476,,1.46,194.38,0.74,376.14,2.6,513.14,0.32,134.34
477,,1.46,203.6,0.74,721.24,2.6,347.66,0.32,28.6
478,,1.46,136.26,0.74,921.3,2.6,377.4,0.32,1040.9
479,,1.46,72.46,0.74,584.12,2.6,102.32,0.32,235.74
480,,1.46,112.16,0.74,237.92,2.6,628.18,0.32,124.04
481,,1.46,96.94,0.74,509.16,2.6,178.04,0.32,17.1
482,,1.46,270.9,0.74,136.8,2.6,126.86,0.32,1263.32
483,,1.46,30.26,0.74,278.98,2.6,215.66,0.32,1193.68
484,,1.46,342.58,0.74,3.8,2.6,202.94,0.32,24.88
485,,1.46,274.12,0.74,409.18,2.6,4.36,0.32,367.84
486,,1.46,386.44,0.74,94.54,2.6,189.92,0.32,926.46
487,,1.46,109.36,0.74,374.52,2.6,93.66,0.32,520.28
488,,1.46,163.44,0.74,897.08,2.6,371.94,0.32,482.02
489,,1.46,176.14,0.74,105.8,2.6,50.22,0.32,806.82
490,,1.46,175.38,0.74,255.34,2.6,325.94,0.32,411.8
491,,1.46,193.76,0.74,89.8,2.6,200.9,0.32,161.26
492,,1.46,339.96,0.74,208.62,2.6,303.72,0.32,47.86
493,,1.46,21.52,0.74,13.82,2.6,642.48,0.32,523.7
494,,1.46,211.1,0.74,492.56,2.6,203.32,0.32,152.22
495,,1.46,340.58,0.74,13.84,2.6,39.22,0.32,164.38
496,,1.46,61.6,0.74,201.86,2.6,708.74,0.32,238.84
497,,1.46,55.5,0.74,420.42,2.6,130.02,0.32,148.48
498,,1.46,182.6,0.74,253.64,2.6,835.2,0.32,772.08
499,,1.46,40.46,0.74,94.74,2.6,865.9,0.32,184.62
500,,1.46,8.98,0.74,88.54,2.6,41.84,0.32,585.3
501,,1.46,98.08,0.74,148.74,2.6,75.6,0.32,815.28
502,,1.46,82.7,0.74,384.4,2.6,251.02,0.32,685.94
503,,1.46,312.04,0.74,184.22,2.6,401.18,0.32,875.64
504,,1.46,82.7,0.74,42.86,2.6,121.14,0.32,489.32
505,,1.46,482.12,0.74,448.38,2.6,328.24,0.32,606.72
506,,1.46,26.36,0.74,195.8,2.6,699.42,0.32,612.82
507,,1.46,98.7,0.74,74.8,2.6,563.32,0.32,163.6
508,,1.46,82.7,0.74,352.28,2.6,44.82,0.32,313.46
509,,1.46,381.54,0.74,96.22,2.6,540.02,0.32,10.66
510,,1.46,5.1,0.74,214.42,2.6,750.64,0.32,215.54
511,,1.46,144.78,0.74,433.5,2.6,413.1,0.32,377.22
512,,1.46,175.38,0.74,55.8,2.6,1064.34,0.32,307.08
513,,1.46,166.36,0.74,135.04,2.6,593.62,0.32,704.26
514,,1.46,153.18,0.74,264.48,2.6,237.64,0.32,870.86
515,,1.46,339.54,0.74,170.58,2.6,29.08,0.32,366.26
516,,1.46,43.12,0.74,506.58,2.6,581.56,0.32,404.82
517,,1.46,101.06,0.74,97.64,2.6,351.66,0.32,120.52
518,,1.46,166.36,0.74,352.04,2.6,136.62,0.32,162.32
519,,1.46,175.38,0.74,281.14,2.6,665.66,0.32,958
520,,1.46,121.38,0.74,278.2,2.6,299.3,0.32,1173.22
521,,1.46,482.12,0.74,205.64,2.6,54.66,0.32,514.44
522,,1.46,71.94,0.74,246.8,2.6,0.04,0.32,268.66
523,,1.46,175.38,0.74,297.04,0.04,39.38,0.32,316.98
524,,1.46,10.12,0.74,90.46,0.04,28.7,0.32,545.8
525,,1.46,111.24,0.74,411.7,0.04,748.32,0.32,241.48
526,,1.46,246.82,0.74,75.28,0.04,682.28,0.32,798.4
527,,1.46,555.5,0.74,495.3,0.04,91.76,0.32,64.18
528,,1.46,155.08,0.74,122.4,0.04,300.88,0.32,687.88
529,,1.46,97.4,0.74,170.36,0.04,141.96,0.32,368.14
530,,1.46,358.22,0.74,878.62,0.04,249,0.32,10.06
531,,1.46,30.56,0.74,314.04,0.04,208.02,0.32,200.12
532,,1.46,1.16,0.74,105.86,0.04,619.88,0.32,1369.68
533,,1.16,140.08,0.74,232.46,0.04,343.32,0.32,356.66
534,,1.16,151.92,0.74,474.56,0.04,193.5,0.32,360.2
535,,1.16,268.68,0.74,190.08,0.04,48.48,0.32,371.04
536,,1.16,212.24,0.74,386.72,0.04,284.64,0.32,506.4
537,,1.16,171.2,0.74,412.76,0.04,78.54,0.32,95.92
538,,1.16,17.74,0.74,285.52,0.04,410.82,0.32,103.2
539,,1.16,234.46,0.74,111.38,0.04,413.48,0.32,299.38
540,,1.16,196.78,0.74,106.96,0.04,306.08,0.32,612.8
541,,1.16,151.92,0.74,52.98,0.04,919.6,0.32,574.58
542,,1.16,151.92,0.74,78.38,0.04,352.34,0.32,418.38
543,,1.16,280.76,0.74,93.64,0.04,243.02,0.32,366.42
544,,1.16,253.04,0.74,40.46,0.04,130.6,0.32,780.08
545,,1.16,143.62,0.74,633.3,0.04,89.6,0.32,229.8
546,,1.16,265.3,0.74,20.16,0.04,798.26,0.32,9.82
547,,1.16,73.66,0.74,76.36,0.04,479.24,0.32,605.18
548,,1.16,113.24,0.74,328.08,0.04,99.98,0.32,573.12
549,,1.16,240.5,0.74,286.32,0.04,211.44,0.32,171.72
550,,1.16,270.8,0.74,98.24,0.04,242.38,0.32,896.84
551,,1.16,170.14,0.74,123.92,0.04,885.1,0.32,497
552,,1.16,303.98,0.74,454.22,0.04,158.06,0.32,1291.72
553,,1.16,91.42,0.74,59.64,0.04,632.14,0.32,443.56
554,,1.16,116.56,0.74,302.64,0.04,50.7,0.32,1217.98
555,,1.16,295.6,0.74,366.86,0.04,559.26,0.32,1706.18
556,,1.16,71.56,0.74,140.72,0.04,564.92,0.32,555.38
557,,1.16,17.56,0.74,96.08,0.04,156.4,0.32,30.6
558,,1.16,134.62,0.74,5.68,0.04,172.7,0.32,221.2
559,,1.16,268.16,0.74,467.5,0.04,689.26,0.32,262.82
560,,1.16,130.4,0.74,478.3,0.04,157.28,0.32,767.84
561,,1.16,179.06,0.74,64.96,0.04,600.48,0.32,765.18
562,,1.16,118.22,0.74,148.7,0.04,509.94,0.32,1113.88
563,,1.16,113.24,0.74,58.68,0.04,332.34,0.32,182.94
564,,1.16,295.6,0.74,115.06,0.04,645.42,0.32,730.34
565,,1.16,110.24,0.74,225.3,0.04,280.24,0.32,1564.18
566,,1.16,131.04,0.74,736.54,0.04,497.78,0.32,51.16
567,,1.16,242.62,0.74,423.6,0.04,341.86,0.32,277.64
568,,1.16,91.42,0.74,158.32,0.04,417.7,0.32,679.98
569,,1.16,107.34,0.74,104.26,0.04,29.04,0.32,160.08
570,,1.16,67.12,0.74,293.54,0.04,588.94,0.32,10.98
571,,1.16,27.52,0.74,73.9,0.04,142.9,0.32,515.64
572,,1.16,170.56,0.74,588.4,0.04,50.12,0.32,963.06
573,,1.16,239.92,0.74,266.12,0.04,707.7,0.32,213.02
574,,1.16,81.24,0.74,230.02,0.04,434.06,0.32,0.52
575,,1.16,242.62,0.74,631.38,0.04,516.44,0.32,1295.14
576,,1.16,217.3,0.74,547.28,0.04,69.6,0.32,734.22
577,,1.16,104.66,0.74,188.1,0.04,69.26,0.32,164.32
578,,1.16,7.66,0.74,409.24,0.04,10.94,0.32,744.7
579,,1.16,61.78,0.74,123.74,0.04,740.74,0.32,1266.22
580,,1.16,61.78,0.74,427.34,0.04,661.38,0.32,1486.14
581,,1.16,230.42,0.74,49.68,0.04,245.18,0.32,630.02
582,,1.16,118.74,0.74,494.74,0.04,553.22,0.32,928.42
583,,1.16,159.9,0.74,1.76,0.04,900.24,0.32,172.96
584,,1.16,144.44,0.74,482.28,0.04,301.84,0.32,12.12
585,,1.16,582.34,0.74,248.66,0.04,520.04,0.32,695.74
586,,1.16,23.06,0.74,129.36,0.04,696.16,0.32,117.74
587,,1.16,386.7,0.74,594.94,0.04,360.16,0.32,478.6
588,,1.16,116.56,0.74,346.94,0.04,386.36,0.32,425.16
589,,1.16,27.52,0.74,553.76,0.04,91.1,0.32,330.78
590,,1.16,32.96,0.74,487.98,0.04,385.96,0.32,352.84
591,,1.16,439.76,0.74,48.4,0.04,396.9,0.32,193.9
592,,1.16,303.98,0.74,345.84,0.04,62.06,0.32,397.7
593,,1.16,191.52,0.74,304.12,0.04,61.96,0.32,234.58
594,,1.16,64.22,0.74,11.18,0.04,252.24,0.32,402.02
595,,1.16,29.64,0.74,223.82,0.04,204.74,0.32,1057.88
596,,1.16,113.24,0.74,677.88,0.04,371.62,0.32,686.66
597,,1.16,6.42,0.74,511.68,0.04,476.52,0.32,627.38
598,,1.16,132.84,0.74,385.7,0.04,1200.94,0.32,420.36
599,,1.16,135.52,0.74,17.42,0.04,173.94,0.32,2069.14
600,,1.16,295.98,0.74,122.5,0.04,96.98,0.32,727.46
601,,1.16,83.38,0.74,4.42,0.04,469.04,0.32,245.86
602,,1.16,151.92,0.74,723.76,0.04,466.28,0.32,37.48
603,,1.16,143.1,0.74,20.18,0.04,760.5,0.32,50.54
604,,1.16,23.94,0.74,460.1,0.04,681.2,0.32,244.02
605,,1.16,223.12,0.74,85.96,0.04,875.46,0.32,4.18
606,,1.16,26.48,0.74,11.88,0.04,172.52,0.32,244.42
607,,1.16,420.34,0.74,61.2,0.04,394.68,0.32,536.42
608,,1.16,198.78,0.74,99.48,0.04,51.94,0.32,667.8
609,,1.16,353.52,0.74,306.32,0.04,452.46,0.32,205.66
610,,1.16,303.98,0.74,296.78,0.04,193.28,0.32,257.72
611,,1.16,117.68,0.74,297.76,0.04,105.22,0.32,18.4
612,,1.16,528.86,0.74,256.22,0.04,9.22,0.32,505.18
613,,1.16,294.08,0.74,60.72,0.04,181.4,0.32,714
614,,1.16,204.98,0.74,526.12,0.04,32.94,0.32,218.12
615,,1.16,268.68,0.74,268.28,0.04,329.78,0.32,860.54
616,,1.16,293.56,0.74,579.56,0.04,293.72,0.32,120.24
617,,1.16,306.1,0.74,730.9,0.04,463.92,0.32,1673.44
618,,1.16,356.18,0.74,390.42,0.04,744.48,0.32,61.4
619,,1.16,64.74,0.74,691.7,0.04,422.48,0.32,497.94
620,,1.16,39.34,0.74,143.58,0.04,117.32,0.32,198.82
621,,1.16,169.68,0.74,337.7,0.04,235.58,0.32,537.34
622,,1.16,210.94,0.74,324.52,0.04,296.6,0.32,50.66
623,,1.16,277.32,0.74,149.1,0.04,931.04,0.32,222.66
624,,1.16,33.84,0.74,416.62,0.04,1345.92,0.32,216.7
625,,1.16,303.98,0.74,70.78,0.04,315.94,0.32,127.12
626,,1.16,258.72,0.74,410.96,0.04,339.08,0.32,270.34
627,,1.16,305.88,0.74,675.12,0.04,53.28,0.32,69.4
628,,1.16,87.84,0.74,382.1,0.04,538.74,0.32,386.86
629,,1.16,64.74,0.74,272.76,0.04,628.02,0.32,501.22
630,,1.16,82.3,0.74,28.9,0.04,392.54,0.32,364
631,,1.16,26.48,0.74,785.04,0.04,86.1,0.32,239.98
632,,1.16,33.84,0.74,548.98,0.04,973.26,0.32,88.26
633,,1.16,26.48,0.74,90.76,0.04,450.1,0.32,1165.16
634,,1.16,122.94,0.74,451.42,0.04,325.94,0.32,326.1
635,,1.16,35.92,0.74,369.74,0.04,69.76,0.32,115.94
636,,1.16,87.84,0.74,417.58,0.04,761.32,0.32,37.86
637,,1.16,65.16,0.74,63.42,0.04,20.74,0.32,273.28
638,,1.16,169.62,0.74,252.12,0.04,549.8,0.32,75.76
639,,1.16,261.8,0.74,5.16,0.04,93.38,0.32,403.6
640,,1.16,371.22,0.74,178.84,0.04,474.9,0.32,221.38
641,,1.16,425.08,0.74,311.42,0.04,565.78,0.32,343.14
642,,1.16,311.7,0.74,78.56,0.04,419.78,0.32,1155.64
643,,1.16,145.94,0.74,132.2,0.04,284.04,0.32,207.92
644,,1.16,308.68,0.74,131.86,0.04,802.62,0.32,1066.52
645,,1.16,77.94,0.74,146.32,0.04,116.62,0.32,167.98
646,,1.16,113.24,0.74,283.54,0.04,467.58,0.32,109.28
647,,1.16,312.2,0.74,224.22,0.04,640.56,0.32,84.46
648,,1.16,23.42,0.74,337.94,0.04,393.68,0.32,525.8
649,,1.16,121.52,0.74,378.86,0.04,58.4,0.32,658.7
650,,1.16,159.9,0.74,49.94,0.04,583.42,0.32,423.34
651,,1.16,1.16,0.74,10.9,0.04,131.34,0.32,256.96
652,,1.16,318.28,0.74,355.42,0.04,309.66,0.32,324.26
653,,1.16,65.16,0.74,232.34,0.04,367.94,0.32,511.2
654,,1.16,326.68,0.74,389.46,0.04,212.88,0.32,25.64
655,,1.16,39.34,0.74,220.26,0.04,238.36,0.32,1072.34
656,,1.16,5.72,0.74,202.36,0.04,219.7,0.32,24.38
657,,1.16,208.3,0.74,32.14,0.04,139.1,0.32,400.56
658,,1.16,11.16,0.74,479.84,0.04,457.44,0.32,118.4
659,,1.16,287.2,0.74,253,0.04,424.96,0.32,123.78
660,,1.16,119.2,0.74,529.9,0.04,888.82,0.32,521.58
661,,1.16,240.42,0.74,560.56,0.04,26.68,0.32,552.74
662,,1.16,439.76,0.74,183.08,0.04,318.56,0.32,264.68
663,,1.16,26.48,0.74,592.8,0.04,25.32,0.32,470.52
664,,1.16,212.9,0.74,251.28,0.04,470.58,0.32,704.66
665,,1.16,200.06,0.74,241.54,0.04,81.68,0.32,45.7
666,,1.16,212.24,0.74,259.54,0.04,954.18,0.32,574.48
667,,1.16,134.24,0.74,59.68,0.04,332.58,0.32,211.6
668,,1.16,64.22,0.74,260.24,0.04,96.16,0.32,1589.62
669,,1.16,112.66,0.74,15.12,0.04,598.28,0.32,649.68
670,,1.16,192.28,0.74,367.62,0.04,382.24,0.32,527.56
671,,1.16,216.8,0.74,273.7,0.04,546.86,0.32,296.06
672,,1.16,257.3,0.74,58.42,0.04,646.26,0.32,1069.28
673,,1.16,110.24,0.74,210.24,0.04,503.96,0.32,436.42
674,,1.16,294.58,0.74,584.26,0.04,17.86,0.32,358.32
675,,1.16,287.7,0.74,65.16,0.04,720.26,0.32,60.8
676,,1.16,272.86,0.74,432.54,0.04,187.24,0.32,1108.3
677,,1.16,11.16,0.74,214.26,0.04,490.52,0.32,506.94
678,,1.16,112.72,0.74,413.74,0.04,383.48,0.32,417.1
679,,1.16,242.62,0.74,229.64,0.04,129,0.32,141.08
680,,1.16,17.52,0.74,624.94,0.04,248.52,0.32,553.46
681,,1.16,169.68,0.74,49.3,0.04,284.3,0.32,177.5
682,,1.16,10.6,0.74,541.08,0.04,33.88,0.32,1168.8
683,,1.16,386.2,0.74,392.24,0.04,361.56,0.32,1100.94
684,,1.16,163.74,0.74,499.04,0.04,434.52,0.32,39.66
685,,1.16,64.6,0.74,495.16,0.04,995.8,0.32,820.32
686,,1.16,76.9,0.74,406.32,0.04,115.9,0.32,201.58
687,,1.16,65.24,0.74,322.84,0.04,68.24,0.32,619.72
688,,1.16,204.98,0.74,317.58,0.04,213.98,0.32,26.94
689,,1.16,59.66,0.74,640.12,0.04,648.42,0.32,540.44
690,,1.16,163.74,0.74,96.38,0.04,841.62,0.32,1101.7
691,,1.16,11.16,0.74,557.4,0.04,563.94,0.32,594.66
692,,1.16,109.74,0.74,624.98,0.04,220.62,0.32,290.26
693,,1.16,141.92,0.74,357.58,0.04,179.88,0.32,488.52
694,,1.16,17.48,0.74,273.98,0.04,780.46,0.32,185.26
695,,1.16,208.3,0.74,544.96,0.04,429.42,0.32,1669.72
696,,1.16,10.52,0.74,188.82,0.04,1197,0.32,1595.34
697,,1.16,212.24,0.74,451.82,0.04,331.84,0.32,291.04
698,,1.16,26.48,0.74,127.26,0.04,624.38,0.32,471.78
699,,1.16,342.5,0.74,317.04,0.04,318.64,0.32,1055.22
700,,1.16,71.06,0.74,105.64,0.04,165.48,0.32,1164.52
701,,1.16,113.24,0.74,348.88,0.04,1046.22,0.32,191.28
702,,1.16,115.84,0.74,129.06,0.04,396.86,0.32,295.06
703,,1.16,74,0.74,262.54,0.04,359.44,0.32,485.08
704,,1.16,29.18,0.74,22,0.04,790.46,0.32,722.36
705,,1.16,26.48,0.74,403.82,0.04,233.02,0.32,21.88
706,,1.16,26.48,0.74,446.24,0.04,105.46,0.32,1291.58
707,,1.16,330.36,0.74,14.5,0.04,194.54,0.32,287.92
708,,1.16,163.74,0.74,391.82,0.04,427.5,0.32,20.5
709,,1.16,35.24,0.74,135.72,0.04,581.88,0.32,347.84
710,,1.16,11.76,0.74,491.12,0.04,238.76,0.32,587.4
711,,1.16,169.62,0.74,347.16,0.04,9.98,0.32,164.46
712,,1.16,163.3,0.74,427.58,0.04,189.32,0.32,631.8
713,,1.16,175.12,0.74,457.26,0.04,310.2,0.32,13.26
714,,1.16,74.64,0.74,131.24,0.04,219.5,0.32,134.88
715,,1.16,262.3,0.74,179.32,0.04,73.4,0.32,202.5
716,,1.16,151.92,0.74,103.86,0.04,719.38,0.32,810.46
717,,1.16,157.36,0.74,468.76,0.04,333.8,0.32,525.92
718,,1.16,27.52,0.74,407.78,0.04,897.48,0.32,927.58
719,,1.16,168.4,0.74,97.8,0.04,58.66,0.32,91.18
720,,1.16,78.44,0.74,195.58,0.04,224.78,0.32,128.08
721,,1.16,128.9,0.74,300.84,0.04,845.48,0.32,928.38
722,,1.16,388.82,0.74,46.26,0.04,3.38,0.32,156.54
723,,1.16,429.34,0.74,572.42,0.04,858.16,0.32,856.34
724,,1.16,179.06,0.74,521.8,0.04,7.8,0.32,574.44
725,,1.16,57.86,0.74,650.44,0.04,356.92,0.32,855.84
726,,1.16,109.8,0.74,508.36,0.04,428,0.32,323.6
727,,1.16,125.06,0.74,515.74,0.04,517.96,0.32,214.3
728,,1.16,57.34,0.74,59.84,0.04,308.98,0.32,699.62
729,,1.16,74.38,0.74,105.92,0.04,256.94,0.32,530.1
730,,1.16,303.98,0.74,101.44,0.04,532.88,0.32,50.96
731,,1.16,175.12,0.74,606,0.04,312.82,0.32,842.84
732,,1.16,28.94,0.74,224.64,0.04,1162.24,0.32,467.82
733,,1.16,16.54,0.74,41.38,0.04,85.28,0.32,838.6
734,,1.16,136.86,0.74,307.58,0.04,329.1,0.32,700.56
735,,1.16,264.42,0.74,185.88,0.04,180.18,0.32,332.12
736,,1.16,353.52,0.74,187.26,0.04,437.5,0.32,351.54
737,,1.16,393.58,0.74,82.06,0.04,390.28,0.32,236.02
738,,1.16,233.62,0.74,316.46,0.04,166.12,0.32,362.74
739,,1.16,77.94,0.74,89.06,0.04,184.94,0.32,1232.3
740,,1.16,223.62,0.74,445.7,0.04,458.98,0.32,131.4
741,,1.16,39.34,0.74,409.74,0.04,187.32,0.32,601.82
742,,1.16,271.3,0.74,410.8,0.04,196.58,0.32,622.12
743,,1.16,112.26,0.74,485.38,0.04,350.48,0.32,128.82
744,,1.16,111.34,0.74,669.84,0.04,49.42,0.32,919.96
745,,1.16,26.48,0.74,90.88,0.04,111.8,0.32,566.6
746,,1.16,487.5,0.74,154.84,0.04,199.96,0.32,771.34
747,,1.16,128.64,0.74,51.32,0.04,247.92,0.32,90.9
748,,1.16,66.92,0.74,799.58,0.04,387.92,0.32,793.28
749,,1.16,141.5,0.74,440.8,0.04,291.08,0.32,1071.8
750,,1.16,214.68,0.74,601.84,0.04,65.04,0.32,501.9
751,,1.16,119.56,0.74,474.62,0.04,2.42,0.32,437.24
752,,1.16,262.3,0.74,486.92,0.04,332.66,0.32,775.56
753,,1.16,27.52,0.74,671.52,0.04,582.18,0.32,767.66
754,,1.16,528.86,0.74,729.7,0.04,359.84,0.32,389.38
755,,1.16,58.36,0.74,7.3,0.04,430,0.32,142.22
756,,1.16,388.82,0.74,422.24,0.04,76.12,0.32,264.14
757,,1.16,309.94,0.74,51.56,0.04,519.56,0.32,256.28
758,,1.16,277.8,0.74,1011.44,0.04,356.08,0.32,416.56
759,,1.16,264.42,0.74,446.22,0.04,87.98,0.32,311.9
760,,1.16,329.36,0.74,127.6,0.04,406.56,0.32,812.3
761,,1.16,195.72,0.74,454.44,0.04,77.12,0.32,1354.74
762,,1.16,62.06,0.74,211.42,0.04,36.78,0.32,582.18
763,,1.16,182.96,0.74,152.5,0.04,123.36,0.32,192.12
764,,1.16,23.06,0.74,396.64,0.04,232.7,0.32,715
765,,1.16,251.38,0.74,554.8,0.04,545.2,0.32,78.94
766,,1.16,64.22,0.74,649.7,0.04,568.18,0.32,1206.98
767,,1.16,170.56,0.74,660.24,0.04,153.68,0.32,523.32
768,,1.16,151.92,0.74,15.2,0.04,668.22,0.32,423.86
769,,1.16,388.32,0.74,192.98,0.04,270.46,0.32,596.3
770,,1.16,212.24,0.74,198.58,0.04,98.2,0.32,64.64
771,,1.16,208.3,0.74,87.4,0.04,274.12,0.32,299.52
772,,1.16,208.3,0.74,9.7,0.04,564.66,0.32,408.58
773,,1.16,112.22,0.74,301.86,0.04,625.66,0.32,354.76
774,,1.16,61.78,0.74,274.62,0.04,190.46,0.32,950.16
775,,1.16,354.28,0.74,57.28,0.04,551.58,0.32,103.28
776,,1.16,154.04,0.74,341.08,0.04,289.72,0.32,168.26
777,,1.16,87.84,0.74,295.76,0.04,873.76,0.32,125.18
778,,1.16,350.86,0.74,265.34,0.04,26.96,0.32,139.3
779,,1.16,159.9,0.74,158.36,0.04,457.64,0.32,307.52
780,,1.16,169.62,0.74,161.26,0.04,607.22,0.32,13.76
781,,1.16,308.7,0.74,9.28,0.04,996.3,0.32,176.92
782,,1.16,115.68,0.74,307.04,0.04,233.38,0.32,356.8
783,,1.16,94.72,0.74,256.88,0.04,682.26,0.32,104.08
784,,1.16,597.8,0.74,497.68,0.04,440.18,0.32,321.12
785,,1.16,59.66,0.74,408.34,0.04,498.08,0.32,314.78
786,,1.16,265.3,0.74,741.42,0.04,24.34,0.32,1453.78
787,,1.16,27.52,0.74,513.04,0.04,105.2,0.32,620.24
788,,1.16,10.62,0.74,103.24,0.04,113.22,0.32,796.9
789,,1.16,270.8,0.74,330.4,0.04,702.78,0.32,117.92
790,,1.16,101.06,0.74,7.28,0.04,806.48,0.32,697.48
